Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,HIST   34 Total,,20,9,14,6,25,,,,,,25,99
,,HIST   42,MORENO M,6,7,4,1,3,,,,,,9,30
,,HIST   42 Total,,6,7,4,1,3,,,,,,9,30
,,HIST   47,BENNETT H M,5,8,1,,2,,,,,,9,25
,,,MORENO M,7,8,2,,1,,,,,,2,20
,,HIST   47 Total,,12,16,3,,3,,,,,,11,45
,,HIST   52 Total,,7,3,3,,2,,1,,,,3,19
,,HIST   53,BOLELLI D,14,5,4,,3,,,,2,,9,37
,,HIST   53 Total,,14,5,4,,3,,,,2,,9,37
,,HIST   88B,CHI J S,1,,,,,,,,,,,1
,,HIST   88B Total,,1,,,,,,,,,,,1
,HIST Total,,,718,614,328,98,275,,18,9,27,,485,2572
History Total,,,,735,630,337,104,283,,18,9,27,,497,2640
Kinesiology,HEALTH,HEALTH 10,CHAVEZ E C,28,7,2,,,,,,,,5,42
,,,HANK M E,57,6,5,,4,,,,1,,6,79
,,,KAUFMAN D,33,7,4,2,14,,,,1,,11,72
,,,METZLER K A,41,,2,1,,,,,,,,44
,,,SEWELL L,5,9,6,2,5,,,,,,10,37
,,,STRONG L M,14,30,8,9,3,,,,,,17,81
,,HEALTH 10 Total,,178,59,27,14,26,,,,2,,49,355
,,HEALTH 11,SHIMA T H,33,2,,,,,,,,,5,40
,,HEALTH 11 Total,,33,2,,,,,,,,,5,40
,HEALTH Total,,,211,61,27,14,26,,,,2,,54,395
,KIN PE,KIN PE  2,METZLER K A,24,2,4,1,3,,,,,,6,40
,,KIN PE  2 Total,,24,2,4,1,3,,,,,,6,40
,,KIN PE  3,METZLER K A,8,4,6,3,7,,,,,,2,30
,,KIN PE  3 Total,,8,4,6,3,7,,,,,,2,30
,,KIN PE  4,METZLER K A,16,6,9,,5,,,,,,2,38
,,KIN PE  4 Total,,16,6,9,,5,,,,,,2,38
,,KIN PE  5B,KALAFER F,25,1,3,,,,,,,,1,30
,,KIN PE  5B Total,,25,1,3,,,,,,,,1,30
,,KIN PE  5C,DUMITRIU E,26,1,,,,,,,1,,3,31
,,KIN PE  5C Total,,26,1,,,,,,,1,,3,31
,,KIN PE  9A,BARNETT R T,15,4,2,1,,,,,1,,1,24
,,,STRONG L M,25,,,,,,,,,,4,29
,,KIN PE  9A Total,,40,4,2,1,,,,,1,,5,53
,,KIN PE  9B,MAIDENBERG J D,17,12,2,,,,3,,,,2,36
,,,THOMAS J L,26,,,,,,,,1,,4,31
,,KIN PE  9B Total,,43,12,2,,,,3,,1,,6,67
,,,THOMAS J L,8,,,,1,,,,,,1,10
,,KIN PE  9C Total,,11,6,2,1,2,,,,,,2,24
,,KIN PE 10A,BARNETT R T,20,,,3,1,,,,,,3,27
,,,LEDWITH K F,49,10,4,,3,,,,,,14,80
,,,THOMAS J L,29,2,,,4,,,,1,,15,51
,,KIN PE 10A Total,,98,12,4,3,8,,,,1,,32,158
,,KIN PE 10C,LEDWITH K F,15,2,2,,1,,,,,,2,22
,,,SHICKMAN T D,13,1,1,,1,,,,,,8,24
,,KIN PE 10C Total,,28,3,3,,2,,,,,,10,46
,,KIN PE 11A,BARNETT R T,16,,,2,2,,,,,,2,22
,,,LEDWITH K F,13,7,1,1,,,,,,,4,26
,,,SEYMOUR P S,11,,,,,,,,2,,5,18
,,KIN PE 11A Total,,40,7,1,3,2,,,,2,,11,66
,,KIN PE 11B,BARNETT R T,17,,,,,,,,,,2,19
,,,MOSICH N W,3,3,,,,,,,,,1,7
,,KIN PE 11B Total,,20,3,,,,,,,,,3,26
,,KIN PE 11C,BARNETT R T,36,1,,,2,,,,,,9,48
,,KIN PE 11C Total,,36,1,,,2,,,,,,9,48
,,KIN PE 11N,HANK M E,13,1,2,2,,,,,,,3,21
,,,MOSICH N W,6,1,1,,1,,,,,,1,10
,,KIN PE 11N Total,,19,2,3,2,1,,,,,,4,31
,,KIN PE 12,HANK M E,10,1,1,,,,,,1,,2,15
,,KIN PE 12 Total,,10,1,1,,,,,,1,,2,15
,,KIN PE 14,BARRON E A,14,5,4,1,,,,,,,2,26
,,KIN PE 14 Total,,14,5,4,1,,,,,,,2,26
,,KIN PE 14B,BARRON E A,4,1,,,,,,,,,,5
,,KIN PE 14B Total,,4,1,,,,,,,,,,5
,,KIN PE 14C,BARRON E A,1,,,,,,,,,,,1
,,KIN PE 14C Total,,1,,,,,,,,,,,1
,,KIN PE 16A,EASTCOTT M B,38,5,1,,1,,,,1,,6,52
,,KIN PE 16A Total,,38,5,1,,1,,,,1,,6,52
,,KIN PE 16B,EASTCOTT M B,17,2,1,,1,,,,,,5,26
,,KIN PE 16B Total,,17,2,1,,1,,,,,,5,26
,,KIN PE 17 Total,,30,6,2,,,,,,,,9,47
,,KIN PE 19C,BARNETT R T,17,,,1,3,,1,,,,2,24
,,,OCAMPO J M,19,1,2,,,,1,,,,2,25
,,,SEYMOUR P S,14,,,,,,,,,,4,18
,,,SHICKMAN T D,16,1,,,2,,,,,,3,22
,,KIN PE 19C Total,,66,2,2,1,5,,2,,,,11,89
,,KIN PE 19D,ANKENY K L,10,2,,,2,,,,,,6,20
,,,SHIMA T H,14,,2,,1,,,,1,,5,23
,,KIN PE 19D Total,,24,2,2,,3,,,,1,,11,43
,,KIN PE 19E,HUNER K A,15,5,1,,,,,,,,5,26
,,,PORTER L A,18,,,,,,,,,,8,26
,,KIN PE 19E Total,,33,5,1,,,,,,,,13,52
,,KIN PE 21C,KEARIN J L,9,,,1,,,,,,,2,12
,,KIN PE 21C Total,,9,,,1,,,,,,,2,12
,,KIN PE 25A,RALSTON L C,11,2,,,1,,,1,,,,15
,,KIN PE 25A Total,,11,2,,,1,,,1,,,,15
,,KIN PE 25B,RALSTON L C,9,,,,,,,,,,1,10
,,KIN PE 25B Total,,9,,,,,,,,,,1,10
,,KIN PE 25C,RALSTON L C,8,,,,,,,,,,1,9
,,KIN PE 25C Total,,8,,,,,,,,,,1,9
,,KIN PE 25D,RALSTON L C,3,,,,,,,,1,,,4
,,KIN PE 25D Total,,3,,,,,,,,1,,,4
,,KIN PE 34A,LEONG J R,11,,,,,,4,,,,2,17
,,KIN PE 34A Total,,11,,,,,,4,,,,2,17
,,KIN PE 34B,LEONG J R,5,,,,,,,,,,,5
,,KIN PE 34B Total,,5,,,,,,,,,,,5
,,KIN PE 34D,LEONG J R,4,,,,,,,,,,,4
,,KIN PE 34D Total,,4,,,,,,,,,,,4
,,KIN PE 41M,LEVY B,16,1,,1,,,,,,,4,22
,,KIN PE 41M Total,,16,1,,1,,,,,,,4,22
,,KIN PE 41W,EASTCOTT M B,13,,,,1,,,,2,,4,20
,,,TANAKA J Y,38,4,3,,4,,,,2,,8,59
,,KIN PE 41W Total,,51,4,3,,5,,,,4,,12,79
,,KIN PE 43A Total,,27,2,,1,,,,,,,4,34
,,KIN PE 43B,PIERCE T L,17,2,,,,,,,,,6,25
,,,SEYMOUR P S,10,,,,,,,,,,2,12
,,KIN PE 43B Total,,27,2,,,,,,,,,8,37
,,KIN PE 43C,BENDITSON A,6,,,,1,,,,,,3,10
,,,LIPMAN L,8,6,,,,,,,,,,14
,,,PIERCE T L,7,3,,,,,,,,,,10
,,,SEYMOUR P S,12,,,,,,,,,,2,14
,,KIN PE 43C Total,,33,9,,,1,,,,,,5,48
,,KIN PE 43D,BENDITSON A,7,,,,,,,,,,,7
,,,LIPMAN L,9,1,,,,,,,,,1,11
,,,PIERCE T L,35,3,2,,,,,,,,1,41
,,KIN PE 43D Total,,51,4,2,,,,,,,,2,59
,,KIN PE 48A,CASCINO N V,14,11,5,2,5,,,,,,9,46
,,KIN PE 48A Total,,14,11,5,2,5,,,,,,9,46
,,KIN PE 48B,CASCINO N V,6,3,5,2,2,,,,1,,4,23
,,,CHAVEZ E C,13,,,,,,,,,,3,16
,,,ROBERTS JR P E,13,,2,,,,,,,,2,17
,,KIN PE 48B Total,,32,3,7,2,2,,,,1,,9,56
,,KIN PE 48C,BULLOCK J A,15,3,,,3,,1,,,,8,30
,,,CONTARSY S A,5,,,,,,,,,,3,8
,,KIN PE 48C Total,,20,3,,,3,,1,,,,11,38
,,KIN PE 48D,BULLOCK J A,6,,,,,,,,,,2,8
,,,CONTARSY S A,5,,,,,,,,,,1,6
,,KIN PE 48D Total,,11,,,,,,,,,,3,14
,,KIN PE 51A,RODMAN S L,28,,,,,,,,,,2,30
,,KIN PE 51A Total,,28,,,,,,,,,,2,30
,,KIN PE 51B,RODMAN S L,3,,,,,,,,,,,3
,,KIN PE 51B Total,,3,,,,,,,,,,,3
,,KIN PE 53A,LIVSHIN B S,23,,,,,,,,,,3,26
,,KIN PE 53A Total,,23,,,,,,,,,,3,26
,,KIN PE 53B,LIVSHIN B S,8,,,,,,,,,,2,10
,,KIN PE 53B Total,,8,,,,,,,,,,2,10
,,KIN PE 54A Total,,7,,,,,,,,1,,4,12
,,KIN PE 54B,LEMON D R,10,,,,,,,,,,2,12
,,KIN PE 54B Total,,10,,,,,,,,,,2,12
,,KIN PE 54C,MOLSING J P,10,5,1,,,,,,,,1,17
,,KIN PE 54C Total,,10,5,1,,,,,,,,1,17
,,KIN PE 54D,MOLSING J P,4,,,,,,,,,,2,6
,,KIN PE 54D Total,,4,,,,,,,,,,2,6
,,KIN PE 56A,ANKENY K L,14,5,4,1,1,,,,,,1,26
,,KIN PE 56A Total,,14,5,4,1,1,,,,,,1,26
,,KIN PE 57A,ROQUE E M,16,3,2,1,2,,1,,,,5,30
,,KIN PE 57A Total,,16,3,2,1,2,,1,,,,5,30
,,KIN PE 57B,DOUGLAS T B JR,6,,,,,,,,,,1,7
,,,ROQUE E M,5,3,1,,2,,1,,,,4,16
,,KIN PE 57B Total,,11,3,1,,2,,1,,,,5,23
,,KIN PE 57C,DOUGLAS T B JR,7,,,,,,,,1,,,8
,,,ROQUE E M,3,1,,1,,,,,,,,5
,,KIN PE 57C Total,,10,1,,1,,,,,1,,,13
,,KIN PE 58A,BENNETT J L,11,6,3,,1,,,,,,6,27
,,,CHAVEZ E C,25,,1,,,,,,,,4,30
,,,HUNER K A,24,2,,,1,,1,,,,4,32
,,,QUALEY K N,29,11,3,1,5,,,,,,6,55
,,,ROQUE E M,12,2,,,,,,,1,,3,18
,,,SANDOVAL H J,22,2,1,,,,,,,,4,29
,,KIN PE 58A Total,,123,23,8,1,7,,1,,1,,27,191
,,KIN PE 58B,BENNETT J L,20,7,5,3,4,,,,,,8,47
,,,HUNER K A,16,2,1,1,,,,,,,4,24
,,,PORTER L A,23,,,,,,,,,,2,25
,,,QUALEY K N,23,6,3,,1,,,,,,3,36
,,,ROQUE E M,4,,,1,,,1,,,,,6
,,,SANDOVAL H J,13,5,,,2,,,,,,6,26
,,KIN PE 58B Total,,99,20,9,5,7,,1,,,,23,164
,,KIN PE 58C,BENNETT J L,9,,1,1,,,,,,,2,13
,,,HUNER K A,1,,1,,,,,,,,1,3
,,KIN PE 58C Total,,18,2,3,1,1,,,,,,4,29
,,KIN PE 88A,ROQUE E M,30,,1,,,,,,,,1,32
,,KIN PE 88A Total,,30,,1,,,,,,,,1,32
,KIN PE Total,,,1427,196,99,33,79,,14,1,18,,310,2177
,PRO CR,PRO CR  7,BENDITSON A,22,3,,,,,1,,,,4,30
,,PRO CR  7 Total,,22,3,,,,,1,,,,4,30
,,PRO CR 10,THOMAS J L,27,31,13,3,1,,,,,,7,82
,,PRO CR 10 Total,,27,31,13,3,1,,,,,,7,82
,,PRO CR 11,BERTELL M,4,8,2,1,3,,,,,,2,20
,,PRO CR 11 Total,,4,8,2,1,3,,,,,,2,20
,,PRO CR 12,SHIMA T H,11,2,1,,,,,,,,2,16
,,PRO CR 12 Total,,11,2,1,,,,,,,,2,16
,,PRO CR 19,THOMAS J L,17,1,1,,,,2,,,,4,25
,,PRO CR 19 Total,,17,1,1,,,,2,,,,4,25
,,PRO CR 25,METZLER K A,14,8,2,1,4,,,,,,2,31
,,PRO CR 25 Total,,14,8,2,1,4,,,,,,2,31
,PRO CR Total,,,95,53,19,5,8,,3,,,,21,204
Kinesiology Total,,,,1733,310,145,52,113,,17,1,20,,385,2776
Library,LIBR,LIBR    1,ANTRIM B S,25,2,1,,4,,,,,,3,35
,,,BAUTISTA C,16,8,3,1,2,,,,1,,10,41
,,,PARISE M P,30,1,,,,,,,,,5,36
,,LIBR    1 Total,,71,11,4,1,6,,,,1,,18,112
,LIBR Total,,,71,11,4,1,6,,,,1,,18,112
Library Total,,,,71,11,4,1,6,,,,1,,18,112
Life Science,ANATMY,ANATMY  1,BUTTERWORTH P R,3,,3,1,2,,,,,,14,23
,,,COVITT G S,3,1,8,3,4,,,,,,15,34
,,,ELLIS C L,8,8,10,4,7,,,,2,,39,78
,,,FICKBOHM D J,16,19,2,,3,,,,,,14,54
,,,GRANT C,1,7,7,2,8,,,,,,3,28
,,,HUTCHINSON S C,6,5,3,2,3,,,,,,42,61
,,,KANJANAPANGKA J,5,2,5,2,1,,,,,,14,29
,,,LE M K,7,1,6,3,1,,,,1,,4,23
,,,OLSEN B D,1,1,1,1,2,,,,,,20,26
,,,WILLIAMS R R,13,13,2,,1,,,,1,,7,37
,,,WISSMANN P B,6,3,4,,5,,,,,,25,43
,,,ZIV N B,5,4,3,2,5,,1,,,,13,33
,,,ZUK P A,16,5,4,,3,,,,,,7,35
,,ANATMY  1 Total,,92,70,60,23,46,,1,,4,,241,537
,ANATMY Total,,92,70,60,23,46,,1,,4,,241,537,
,BIOL,BIOL    2,BUCHANAN A G,5,8,3,3,1,,,1,,,11,32
,,,DELL M M,3,2,6,,7,,,,2,,15,35
,,,HAWK R,12,9,10,6,3,,1,,,,10,51
,,,HUTCHINSON S C,27,22,12,1,3,,,,15,,4,84
,,,JOHNSON JA J,35,2,1,,,,,,5,,1,44
,,,KIM‐RAJAB O S,6,3,5,2,4,,,1,,,16,37
,,,NELSON R E,16,14,6,1,2,,,,3,,6,48
,,,PRICE W M,3,5,10,,1,,,,1,,14,34
,,,SKYDELL J L,2,5,8,,9,,,,2,,18,44
,,BIOL    2 Total,,109,70,61,13,30,,1,2,28,,95,409
,,BIOL    3,AUSTIN D C,10,7,,1,1,,,,3,,9,31
,,,BAKER E H,9,9,2,,,,,,,,4,24
,,,BERBEO A E,36,9,9,2,3,,,,,,5,64
,,,CASSANO V P,15,6,5,1,1,,,,2,,4,34
,,,COURTNEY A,53,5,,1,2,,,,3,,1,65
,,,FENNOY S L,8,10,18,4,3,,,,1,,16,60
,,,JAYACHANDRAN S,14,10,5,,,,,,3,,1,33
,,,JORDAN E A,7,7,3,4,,,,1,2,,7,31
,,,KAY B W,5,2,5,,1,,,,1,,4,18
,,,KIM‐RAJAB O S,21,16,11,,4,,,1,3,,24,80
,,,NICHOLS L B,10,5,4,4,1,,,,1,,5,30
,,,RAYMER P C,33,14,19,2,1,,,,,,2,71
,,,ROMERO R,5,8,9,5,,,,1,1,,3,32
,,,STRUGATSKY D,14,15,16,1,3,,,,2,,6,57
,,,VON DER OHE C G,15,3,4,1,,,,,1,,1,25
,,,WENGELER W R,7,6,6,,3,,,,,,5,27
,,BIOL    3 Total,,262,132,116,26,23,,,3,23,,97,682
,,,JORDAN E A,6,6,9,5,1,,,,,,2,29
,,,MCLAUGHLIN D,15,6,13,1,4,,,,1,,17,57
,,,RAYMER P C,18,19,9,6,5,,,,1,,10,68
,,,SAKURAI D S,10,13,28,5,8,,,,,,12,76
,,BIOL    9 Total,,51,60,65,17,26,,1,,2,,48,270
,,BIOL   15,FOX C H,4,8,7,5,4,,,,,,4,32
,,,YATES D C,5,8,5,3,3,,,,1,,5,30
,,BIOL   15 Total,,9,16,12,8,7,,,,1,,9,62
,,BIOL   15N,FOX C H,4,3,4,1,7,,,,,,5,24
,,,WALL C B,5,5,5,,7,,,,1,,4,27
,,BIOL   15N Total,,9,8,9,1,14,,,,1,,9,51
,,BIOL   21,SCURIC Z,13,8,10,3,2,,,,,,10,46
,,,VAGIN O,37,15,8,1,,,,,,,6,67
,,BIOL   21 Total,,50,23,18,4,2,,,,,,16,113
,,BIOL   22,BOBER M A,16,29,18,2,2,,,,,,25,92
,,BIOL   22 Total,,16,29,18,2,2,,,,,,25,92
,,BIOL   23,NICHOLS L B,24,19,12,2,2,,,,,,3,62
,,BIOL   23 Total,,24,19,12,2,2,,,,,,3,62
,,BIOL   88B,TOWER J A,1,,,,,,,,,,,1
,,BIOL   88B Total,,1,,,,,,,,,,,1
,BIOL Total,,,531,357,311,73,106,,2,5,55,,302,1742
,BOTANY,BOTANY  1,DAVIS H A,12,9,1,,2,,,,,,6,30
,,,HAGHIGHAT M,11,24,6,2,2,,,,2,,9,56
,,BOTANY  1 Total,,23,33,7,2,4,,,,2,,15,86
,BOTANY Total,,,23,33,7,2,4,,,,2,,15,86
,MCRBIO,MCRBIO  1,BUCHANAN A G,15,13,4,2,3,,,,,,4,41
,,,GUPTA R K,11,7,1,,,,,,,,1,20
,,,NAREY V,21,10,7,1,,,,,,,9,48
,,,PEPPER E D,12,8,7,1,,,,,,,,28
,,MCRBIO  1 Total,,59,38,19,4,3,,,,,,14,137
,MCRBIO Total,,,59,38,19,4,3,,,,,,14,137
,NUTR,NUTR    1,ABICH M L,9,8,4,2,5,,,,,,1,29
,,,ACKERSON A K,9,9,3,1,8,,,,,,8,38
,,,NOVAK D S,14,18,19,11,3,,,,,,12,77
,,,ORTEGA Y,37,18,15,2,2,,,1,,,5,80
,,,RICHWINE D R,43,30,21,5,10,,,,,,21,130
,,,SALERNO L A,24,32,23,9,10,,,,,,5,103
,,NUTR    1 Total,,146,129,90,36,41,,,2,,,60,504
,,NUTR    4,MERCER J E,7,13,6,,4,,,,,,6,36
,,,ORTEGA Y,11,11,8,,5,,,1,1,,2,39
,,NUTR    4 Total,,18,24,14,,9,,,1,1,,8,75
,,NUTR    7,NOVAK D S,9,6,5,1,,,,,,,14,35
,,,ORTEGA Y,16,9,4,,,,,,1,,9,39
,,NUTR    7 Total,,25,15,9,1,,,,,1,,23,74
,,NUTR    8,BECKWITH S E,8,2,,,,,,,1,,1,12
,,NUTR    8 Total,,8,2,,,,,,,1,,1,12
,NUTR Total,,,197,170,113,37,50,,,3,3,,92,665
,PHYS,PHYS    3,ADAMS E E,8,3,6,1,6,,,,,,4,28
,,,CRUZ‐ARAUJO H F,7,5,7,1,1,,1,,,,1,23
,,,GRANT C,14,9,3,4,2,,,,,,11,43
,,,JOHNSON JA J,20,6,1,,,,,,,,1,28
,,,PERKINS K K,12,15,3,1,2,,,,,,12,45
,,,PRICE W M,4,8,3,,,,,,,,4,19
,,,VON DER OHE C G,25,10,7,6,,,,,,,3,51
,,PHYS    3 Total,,90,56,30,13,11,,1,,,,36,237
,PHYS Total,,,90,56,30,13,11,,1,,,,36,237
,ZOOL,ZOOL    5,GARTNER G E,29,25,21,1,4,,,,3,,7,90
,,,MOSS J L,2,7,5,2,2,,,,2,,6,26
,,,PATEL A,13,8,5,3,,,,,1,,2,32
,,ZOOL    5 Total,,44,40,31,6,6,,,,6,,15,148
,ZOOL Total,,,44,40,31,6,6,,,,6,,15,148
Life Science Total,,,,1036,764,571,158,226,,4,8,70,,715,3552
Mathematics,MATH,MATH    1,BENE A J,,,,,,,,10,13,,4,27
,,,LONDON J S,,,,,,,,5,17,,5,27
,,,LUI‐MARTINEZ KR D,,,,,,,,8,10,,7,25
,,,MIANO I A,,,,,,,,7,12,,9,28
,,,OUELLETTE K R,,,,,,,,2,24,,7,33
,,,QUEVEDO J M,,,,,,,,4,21,,4,29
,,,ROSS K R,,,,,,,,3,13,,12,28
,,MATH    1 Total,,,,,,,,,40,128,,52,220
,,MATH    2,BASKAUSKAS V A,2,6,13,2,2,,,,,,11,36
,,,DAVID P A,12,7,9,6,9,,,,,,2,45
,,,FRY G P,6,3,1,2,6,,,1,,,21,40
,,,GROLLMUS D P,15,20,16,10,12,,,,,,14,87
,,,JIMENEZ B S,5,5,6,1,8,,,,,,18,43
,,,KAMIN G,4,6,1,1,3,,,,1,,13,29
,,,KARKAFI R H,6,,2,,20,,,,,,11,39
,,,MAN S,6,4,7,6,1,,,,,,9,33
,,,MAZOROW M M,7,4,4,3,3,,,,,,23,44
,,,NESTLER A E,,,2,8,3,,,,,,21,34
,,,QUEVEDO J M,1,1,5,7,,,,,,,7,21
,,,RAMSEY E D,8,4,5,1,2,,,,,,7,27
,,,SARKSSIAN H,16,2,6,6,5,,,1,,,8,44
,,,WONG B L,4,2,5,2,7,,,,,,8,28
,,MATH    2 Total,,92,64,82,55,81,,,2,1,,173,550
,,MATH    3,HERICHI H,4,6,7,5,12,,,,1,,11,46
,,MATH    3 Total,,4,6,7,5,12,,,,1,,11,46
,,MATH    4,NGUYEN D T,1,6,4,3,13,,,,1,,13,41
,,MATH    4 Total,,1,6,4,3,13,,,,1,,13,41
,,MATH    7,BENE A J,7,3,6,7,3,,,,,,17,43
,,,BOOSHERI S G,9,2,6,8,5,,,,,,12,42
,,,DOKOS P,9,9,8,4,3,,,,,,6,39
,,,HANCOCK M D,13,10,9,4,2,,,1,,,7,46
,,,HONG A M,,,5,3,2,,,,,,10,20
,,,JAHANGARD E,1,2,4,3,5,,,,,,19,34
,,,KONYA W,1,3,2,10,4,,,,,,11,31
,,,LUI‐MARTINEZ KR D,5,8,5,2,7,,,,,,19,46
,,,MANOOKIAN N,15,7,5,4,9,,,,,,11,51
,,,RODAS B G,6,3,5,2,2,,,,,,8,26
,,MATH    7 Total,,70,50,61,53,49,,,1,,,137,421
,,MATH    8,ASKARIAN S N,16,7,3,1,6,,,,,,11,44
,,,HONG A M,,1,4,6,4,,,,,,12,27
,,,JAHANGARD E,3,5,4,2,4,,,,,,18,36
,,,KONYA W,5,13,1,7,11,,,,,,16,53
,,,LAI I,17,20,17,5,6,,,,,,30,95
,,,NESTLER A E,1,1,5,13,1,,,,,,16,37
,,,PACHAS‐FLORES W,9,5,3,1,3,,,,,,24,45
,,MATH    8 Total,,51,52,37,35,35,,,,,,127,337
,,MATH   10,KONYA W,4,10,8,1,,,,,,,8,31
,,,NESTLER A E,2,2,4,10,1,,,,,,11,30
,,MATH   10 Total,,6,12,12,11,1,,,,,,19,61
,,MATH   11,DOKOS P,14,14,10,2,3,,,,,,3,46
,,,HERICHI H,12,17,9,1,2,,,,,,6,47
,,,HONG A M,,2,8,2,1,,,,,,4,17
,,,SOLEYMANI S,16,11,4,10,2,,1,,,,5,49
,,MATH   11 Total,,42,44,31,15,8,,1,,,,18,159
,,MATH   13,ASKARIAN S N,10,7,3,2,2,,,,1,,9,34
,,,MAZOROW M M,4,7,7,4,2,,,,,,12,36
,,,NESTLER A E,2,2,4,8,,,,,,,13,29
,,,OUELLETTE K R,12,8,7,3,,,,,,,3,33
,,MATH   13 Total,,28,24,21,17,4,,,,1,,37,132
,,MATH   15,HERICHI H,12,19,4,2,3,,,,,,5,45
,,,MALDAGUE J,13,8,7,3,2,,,,,,8,41
,,,PACHAS‐FLORES W,8,4,8,4,7,,,,,,9,40
,,MATH   15 Total,,33,31,19,9,12,,,,,,22,126
,,MATH   18,BAYSSA B T,3,5,12,2,9,,,,,,12,43
,,,CARTY B,3,1,6,5,11,,,,,,7,33
,,,GHARAMANIANS J,4,3,8,3,12,,,,,,13,43
,,,GRAVES L P,1,1,8,5,2,,,,,,13,30
,,,JIANG J,5,10,12,,6,,,,,,9,42
,,,MAKNOUNI M,2,8,8,5,4,,1,,1,,5,34
,,MATH   18 Total,,18,28,54,20,44,,1,,1,,59,225
,,,LUI‐MARTINEZ KR D,,,,,,,,1,3,,1,5
,,,MUSSELMAN M J,,,,,,,,,4,,1,5
,,,QUEVEDO J M,,,,,,,,1,2,,,3
,,MATH   1B Total,,,,,,,,,4,13,,3,20
,,MATH   1C,LONDON J S,,,,,,,,1,,,,1
,,,LUI‐MARTINEZ KR D,,,,,,,,1,,,,1
,,MATH   1C Total,,,,,,,,,2,,,,2
,,MATH   20,CHAU E,4,5,8,2,9,,,,,,9,37
,,,CHITGAR M H,5,1,7,1,5,,,,,,13,32
,,,ENGLAND A M,2,6,9,7,8,,,,,,10,42
,,,FOSTER M,1,4,11,,29,,,,,,17,62
,,,GRAVES L P,1,1,4,5,4,,,,,,12,27
,,,HERICHI H,5,2,13,2,14,,,,1,,8,45
,,,HUANG C Y,20,7,6,5,5,,,,,,2,45
,,,KAMIN G,5,4,4,2,2,,,,,,5,22
,,,KARKAFI R H,5,,3,,4,,,,1,,13,26
,,,LAN H,1,5,8,4,6,,,,,,21,45
,,,LEE K H,6,10,6,6,1,,,,,,8,37
,,,LONDON J S,3,2,5,19,1,,,,1,,4,35
,,,LUI‐MARTINEZ KR D,9,9,7,4,5,,,,,,,34
,,,MAKNOUNI M,4,9,13,5,5,,,,1,,9,46
,,,MALDAGUE J,13,5,10,5,2,,,,2,,9,46
,,,MUSSELMAN M J,10,5,3,2,1,,,,,,3,24
,,,QUEVEDO J M,6,4,9,3,,,,,,,6,28
,,,ROSS K R,3,2,6,1,4,,,,,,23,39
,,,SARKSSIAN H,6,7,8,4,7,,,2,,,9,43
,,,SIMO A L,2,5,3,5,6,,,2,,,10,33
,,,TSVIKYAN A,8,5,6,,9,,,,,,13,41
,,,WANG E,1,4,8,4,7,,,,,,14,38
,,,WONG J D,4,6,11,12,,,,,,,4,37
,,MATH   20 Total,,124,108,168,98,134,,,4,6,,222,864
,,MATH   21,CHENG T T,4,5,4,3,6,,,,,,15,37
,,,FOREMAN N J,17,15,15,,3,,,,,,6,56
,,,SIMHAN S V,5,6,10,1,4,,,,,,11,37
,,,WANG J D,4,8,8,2,6,,,2,,,15,45
,,MATH   21 Total,,56,41,40,6,20,,,2,,,50,215
,,MATH   26,CHAN H J,1,3,5,3,9,,,,,,9,30
,,,GHARAMANIANS J,1,7,7,5,7,,1,,,,14,42
,,,HARANDIAN R,5,7,1,,3,,,,,,5,21
,,,HARJUNO T,3,6,4,3,3,,,,,,17,36
,,,RODAS B G,3,6,5,6,3,,,1,1,,18,43
,,MATH   26 Total,,13,29,22,17,25,,1,1,1,,63,172
,,MATH   28,KAVIANI K,6,8,8,2,4,,,,,,18,46
,,,MAZOROW M M,8,11,10,3,6,,,,,,8,46
,,,RODAS B G,3,10,8,6,1,,,,,,14,42
,,MATH   28 Total,,17,29,26,11,11,,,,,,40,134
,,MATH   29,RODAS B G,10,5,3,2,3,,,,,,4,27
,,MATH   29 Total,,10,5,3,2,3,,,,,,4,27
,,MATH   31,BRONIE B L,3,4,5,6,3,,,,,,16,37
,,,CHO M,2,5,4,4,7,,,,,,13,35
,,,EVINYAN Z,2,4,7,1,7,,,,,,14,35
,,,HALAKA E F,8,7,12,,5,,,,1,,8,41
,,,HECHT S E,2,5,3,2,14,,,,2,,11,39
,,,JIANG J,,10,10,3,13,,,,1,,9,46
,,,KIM J J,3,5,5,4,3,,,,,,8,28
,,,KIM SU,5,1,,4,9,,,,,,6,25
,,,LEE P H,5,,7,,14,,,,,,31,57
,,,LOPEZ MA,6,6,13,7,31,,,,,,14,77
,,,MIANO I A,,2,8,6,18,,,,,,9,43
,,,MUSSELMAN M J,5,4,9,,6,,,,,,14,38
,,,ODOM L H,3,5,1,4,15,,,,1,,14,43
,,,OWAKA E A,2,3,8,,6,,1,,,,13,33
,,,PHUNG Q T,1,2,4,6,15,,,1,,,11,40
,,,RAHNAVARD M H,2,5,5,2,7,,,,,,10,31
,,,SOURY S,1,3,1,4,17,,1,,,,13,40
,,,WARD J E,4,6,5,9,,,,,,,16,40
,,MATH   32,CHAU E,5,8,11,2,4,,,,,,12,42
,,,HECHT S E,8,7,14,2,2,,,1,4,,7,45
,,,HUANG C Y,17,8,4,,3,,,,2,,6,40
,,,KIM J J,13,14,5,2,2,,,1,,,9,46
