"","","","","","","","","","","","","",""
KIN PE 16A,EASTCOTT M B,35,4,3,,1,,,,1,,9,53
KIN PE 16A Total,,35,4,3,,1,,,,1,,9,53
KIN PE 16B,EASTCOTT M B,13,2,1,,1,,,,,,2,19
KIN PE 16B Total,,13,2,1,,1,,,,,,2,19
KIN PE 17,FREEMAN D,71,,,,,,,,,,4,75
"",STRONG L M,19,3,2,,,,,,,,5,29
KIN PE 17 Total,,90,3,2,,,,,,,,9,104
KIN PE 19C,SEYMOUR P S,13,,,,,,,,,,10,23
KIN PE 19C Total,,13,,,,,,,,,,10,23
KIN PE 19E,PORTER L A,34,3,1,,,,,,,,7,45
KIN PE 19E Total,,34,3,1,,,,,,,,7,45
KIN PE 21,BARNETT R T,10,,1,,,,,,,,5,16
KIN PE 21 Total,,10,,1,,,,,,,,5,16
KIN PE 25A,RALSTON L C,15,1,,,1,,,,1,,1,19
KIN PE 25A Total,,15,1,,,1,,,,1,,1,19
KIN PE 25B,RALSTON L C,9,3,,,1,,,,,,2,15
KIN PE 25B Total,,9,3,,,1,,,,,,2,15
KIN PE 25C,RALSTON L C,2,,,,,,,,,,,2
KIN PE 25C Total,,2,,,,,,,,,,,2
KIN PE 25D,RALSTON L C,3,,,,1,,,,,,1,5
KIN PE 25D Total,,3,,,,1,,,,,,1,5
KIN PE 34A,BAGHDASARIAN G,12,2,1,,,,1,,,,3,19
KIN PE 34A Total,,12,2,1,,,,1,,,,3,19
KIN PE 34B,BAGHDASARIAN G,1,,,,,,,,,,1,2
KIN PE 34B Total,,1,,,,,,,,,,1,2
KIN PE 34C,BAGHDASARIAN G,3,,,,,,,,,,,3
KIN PE 34D,BAGHDASARIAN G,2,1,,,,,,,,,,3
KIN PE 34D Total,,2,1,,,,,,,,,,3
KIN PE 41W,EASTCOTT M B,20,1,,,,,,,,,2,23
"",GOEHNER N W,10,6,3,2,6,,,,,,5,32
"","GOEHNER N
W/TANAKA J Y",8,8,4,2,4,,,,,,3,29
KIN PE 41W Total,,38,15,7,4,10,,,,,,10,84
KIN PE 43A,LIPMAN L,23,1,,,1,,,,1,,4,30
"",RACCA A L,31,1,,3,,,,,,,3,38
KIN PE 43A Total,,54,2,,3,1,,,,1,,7,68
KIN PE 43C,LIPMAN L,27,2,,,,,,,,,2,31
"",SEYMOUR P S,30,1,,,,,,,,,1,32
KIN PE 43C Total,,57,3,,,,,,,,,3,63
KIN PE 43D,RACCA A L,27,,,2,,,,,,,3,32
KIN PE 43D Total,,27,,,2,,,,,,,3,32
KIN PE 45A,SHEELEY S L,16,,,,,,,,,,5,21
KIN PE 45A Total,,16,,,,,,,,,,5,21
KIN PE 45C,SHEELEY S L,2,,,,,,,,,,1,3
KIN PE 45C Total,,2,,,,,,,,,,1,3
KIN PE 48A,CASCINO N V,48,27,16,3,3,,,,1,,11,109
KIN PE 48A Total,,48,27,16,3,3,,,,1,,11,109
KIN PE 48B,BULLOCK J A,9,,,,1,,3,,,,6,19
"",CHAVEZ E C,15,1,1,,,,,,,,6,23
"",SHIMA T H,15,1,1,,,,,1,2,,6,26
KIN PE 48B Total,,39,2,2,,1,,3,1,2,,18,68
KIN PE 48C,BULLOCK J A,8,,,,,,2,,,,3,13
"",CONTARSY S A,5,2,,,,,,,,,5,12
"",SHIMA T H,12,1,2,,2,,,,,,5,22
KIN PE 48C Total,,25,3,2,,2,,2,,,,13,47
KIN PE 48D,BULLOCK J A,9,,,,,,,,,,1,10
"",CONTARSY S A,4,1,,,1,,,,,,,6
KIN PE 48D Total,,13,1,,,1,,,,,,1,16
KIN PE 51A,METZLER K A,11,,2,,,,,,,,,13
KIN PE 51B,METZLER K A,6,,,,,,,,,,1,7
KIN PE 51B Total,,6,,,,,,,,,,1,7
KIN PE 53A,LIVSHIN B S,22,,,,,,,,1,,3,26
KIN PE 53A Total,,22,,,,,,,,1,,3,26
KIN PE 53B,LIVSHIN B S,10,,,,,,,,,,,10
KIN PE 53B Total,,10,,,,,,,,,,,10
KIN PE 54A,GOLDENSON R M,13,,,,,,,,,,4,17
"",LEMON D R,9,,,,,,,,,,,9
KIN PE 54A Total,,22,,,,,,,,,,4,26
KIN PE 54B,GOLDENSON R M,5,,,,,,,,,,,5
"",LEMON D R,5,,,,,,,,,,1,6
KIN PE 54B Total,,10,,,,,,,,,,1,11
KIN PE 54C,GOLDENSON R M,10,1,,,,,1,,,,,12
"",LEMON D R,6,,,,,,,,,,,6
KIN PE 54C Total,,16,1,,,,,1,,,,,18
KIN PE 54D,GOLDENSON R M,12,,,,,,,,,,1,13
KIN PE 54D Total,,12,,,,,,,,,,1,13
KIN PE 56A,ANKENY K L,15,3,2,1,,,,,1,,7,29
"",SILVA L,11,2,,1,,,,,,,4,18
KIN PE 56A Total,,26,5,2,2,,,,,1,,11,47
KIN PE 56B,SILVA L,6,,,,1,,,,,,,7
KIN PE 56B Total,,6,,,,1,,,,,,,7
KIN PE 57A,ROQUE E M,15,1,,,1,,,,,,9,26
KIN PE 57A Total,,15,1,,,1,,,,,,9,26
KIN PE 57B,ROQUE E M,8,3,2,3,3,,,,,,3,22
KIN PE 57B Total,,8,3,2,3,3,,,,,,3,22
KIN PE 57C,METICHECCHIA J H,8,,,,,,,,,,1,9
"",ROQUE E M,6,1,,,,,,,,,,7
KIN PE 57C Total,,14,1,,,,,,,,,1,16
KIN PE 58A,BENNETT J L,19,12,4,7,7,,,,,,7,56
"",CHAVEZ E C,19,,,,,,,,,,5,24
"",HUNER K A,21,,1,1,,,,,1,,4,28
"",QUALEY K N,34,18,1,1,4,,,,,,6,64
KIN PE 58A Total,,101,32,10,11,13,,1,,1,,24,193
KIN PE 58B,BENNETT J L,8,4,,1,3,,,,,,4,20
"",HUNER K A,18,3,,1,,,,,,,5,27
"",PORTER L A,15,1,,,,,,,,,2,18
"",SANDOVAL H J,30,12,5,2,2,,,,,,13,64
KIN PE 58B Total,,71,20,5,4,5,,,,,,24,129
KIN PE 58C,BENNETT J L,6,1,1,,1,,,,1,,1,11
"",HUNER K A,5,,1,,,,,,1,,2,9
"",SANDOVAL H J,7,,,,1,,,,,,1,9
KIN PE 58C Total,,18,1,2,,2,,,,2,,4,29
KIN PE 59B,FREEMAN D,17,,,,,,,,,,2,19
KIN PE 59B Total,,17,,,,,,,,,,2,19
KIN PE 59C,METICHECCHIA J H,9,,,,,,,,,,3,12
KIN PE 59C Total,,9,,,,,,,,,,3,12
KIN PE 88A,ROQUE E M,22,,,,1,,,,,,2,25
KIN PE 88A Total,,22,,,,1,,,,,,2,25
KIN PE 88B,ROQUE E M,2,,,,,,,,,,,2
KIN PE 88B Total,,2,,,,,,,,,,,2
PRO CR  6A,BARKER JR. D,17,5,8,,,,,,,,3,33
PRO CR  6A Total,,17,5,8,,,,,,,,3,33
PRO CR 10,THOMAS J L,23,25,22,2,4,,,,,,9,85
PRO CR 10 Total,,23,25,22,2,4,,,,,,9,85
PRO CR 11,BERTELL M,9,7,7,2,2,,,,,,1,28
PRO CR 11 Total,,9,7,7,2,2,,,,,,1,28
PRO CR 19,THOMAS J L,8,1,,,,,2,,,,2,13
PRO CR 19 Total,,8,1,,,,,2,,,,2,13
PRO CR 25,HANK M E,6,5,4,,,,1,,,,2,18
PRO CR 25 Total,,6,5,4,,,,1,,,,2,18
"",,1727,340,178,74,124,,15,2,12,,400,2872
LIBR    1,BAUTISTA C,13,3,,1,,,,,,,,17
"",PARISE M P,33,8,,1,,,,,,,3,45
LIBR    1 Total,,46,11,,2,,,,,,,3,62
"",,46,11,,2,,,,,,,3,62
"",COVITT G S,3,4,3,1,1,,,,,,18,30
"",ELLIS C L,6,2,7,5,4,,,,,,35,59
"",ELLIS C L/FINK S A,3,7,1,1,,,,,1,,8,21
"",FICKBOHM D J,19,8,7,3,3,,,1,,,24,65
"",GRANT C,6,5,11,7,5,,1,,,,21,56
"",HUTCHINSON S C,,5,2,,3,,,,,,19,29
"",KANJANAPANGKA J,3,8,4,1,2,,,,,,10,28
"",SKYDELL J L,2,4,6,6,2,,,,,,10,30
"",VALLE A M,8,2,3,1,4,,,,,,8,26
"",WILLIAMS R R,9,9,3,,2,,,,,,9,32
"",WISSMANN P B,4,4,5,5,7,,,,,,31,56
"",ZUK P A,22,2,,1,5,,,,,,12,42
ANATMY  1 Total,,93,61,54,32,39,,1,1,1,,218,500
BIOL    2,AZUMA K K,2,2,6,1,3,,,,,,13,27
"",BUCHANAN A G,4,4,9,6,8,,,,,,7,38
"",DELL M M,3,8,8,5,4,,,,,,12,40
"",GRANT C,12,3,9,2,3,,,,,,8,37
"",HAWK R,6,9,8,7,5,,,,1,,7,43
"",HOUGHTON J L,10,40,11,4,3,,,3,4,,14,89
"",HUTCHINSON S C,30,14,8,2,8,,1,,1,,9,73
"",JOHNSON JA J,19,1,1,1,4,,,,,,2,28
"",NELSON R E,14,10,5,3,3,,2,,1,,6,44
"",PRICE W M,9,4,10,,,,,,,,11,34
"",SKYDELL J L,3,5,4,5,3,,,,,,23,43
BIOL    2 Total,,112,100,79,36,44,,3,3,7,,112,496
BIOL    3,CASSANO V P,18,9,1,,,,,,2,,6,36
"",CHEN T T,8,10,16,,2,,,,,,9,45
"","COURTNEY A/SPIEGLER
M A",32,14,4,2,4,,,,2,,3,61
"",DAVIS H A,17,2,,,,,,,2,,1,22
"",FENNOY S L,9,15,15,,4,,1,,,,8,52
"",JAYACHANDRAN S,9,12,2,,1,,,,,,6,30
"",JORDAN E A,8,5,12,,,,,,,,8,33
"",KIM-RAJAB O S,15,13,15,5,6,,,,3,,25,82
"",LE M K,5,6,7,3,,,,,,,6,27
"",NICHOLS L B,7,12,10,9,10,,,,,,15,63
"",OLSEN B D,1,6,6,1,2,,,1,,,6,23
"",PARODI CHOCANO D A,6,5,4,1,3,,,,1,,1,21
"",RAYMER P C,23,21,10,8,1,,,,,,2,65
"",ROMERO R,11,7,5,2,,,,,,,3,28
"",VON DER OHE C G,18,1,4,1,,,,,,,2,26
BIOL    3 Total,,198,140,115,33,36,,1,1,10,,108,642
BIOL    9,DAVIS H A,6,17,10,4,1,,,,1,,8,47
"",JORDAN E A,6,3,4,11,,,,,,,6,30
"",MCLAUGHLIN D,6,6,4,1,5,,,,,,11,33
"",RAYMER P C,24,18,13,3,8,,,,,,13,79
"",SAKURAI D S,6,9,20,7,5,,,,,,22,69
BIOL    9 Total,,48,53,51,26,19,,,,1,,60,258
BIOL   15,BAGHDASARIAN G,12,7,20,9,15,,2,,,,19,84
BIOL   15 Total,,12,7,20,9,15,,2,,,,19,84
BIOL   15N,CASSANO V P,7,5,4,1,2,,,,,,5,24
"",WALL C B,8,2,5,2,4,,,,,,9,30
BIOL   15N Total,,15,7,9,3,6,,,,,,14,54
BIOL   21,CHEN T T,6,6,3,1,1,,,,,,7,24
"",SCURIC Z,9,7,3,,,,,,,,3,22
"",VAGIN O,31,16,7,2,3,,,,,,9,68
BIOL   21 Total,,46,29,13,3,4,,,,,,19,114
BIOL   22,BOBER M A,5,7,12,4,,,,,,,2,30
"","BOBER M
A/HUTCHINSON S C",16,16,19,2,,,,,,,9,62
BIOL   22 Total,,21,23,31,6,,,,,,,11,92
BIOL   23,BAKER E H/NICHOLS L B,3,5,2,,,,,,,,3,13
BIOL   23 Total,,3,5,2,,,,,,,,3,13
BIOL   88C,TOWER J A,6,,,,,,,,,,,6
BOTANY  1,BAKER E H,6,10,5,,1,,,,,,6,28
"",HAGHIGHAT M,15,15,5,1,,,,,,,7,43
"",TOWER J A,3,4,5,2,,,2,,,,13,29
BOTANY  1 Total,,24,29,15,3,1,,2,,,,26,100
MCRBIO  1,BUCHANAN A G,10,10,12,2,1,,,,,,3,38
"",NAREY V,15,10,7,5,1,,,,,,9,47
"",PEPPER E D,10,10,6,,1,,,,,,,27
MCRBIO  1 Total,,35,30,25,7,3,,,,,,12,112
NUTR    1,ARUSSI J B,4,12,6,3,6,,,,,,8,39
"",GONZALEZ C L,33,22,14,12,12,,,,,,26,119
"",MERCER J E,9,4,6,4,2,,,,,,13,38
"",NOVAK D S,28,22,8,1,2,,,,,,15,76
"",ORTEGA Y,48,21,30,2,2,,,,,,14,117
"",RICHWINE D R,35,19,8,3,4,,,,1,,11,81
"",SALERNO L A,12,20,20,8,6,,,,,,8,74
NUTR    1 Total,,169,120,92,33,34,,,,1,,95,544
NUTR    3,NOVAK D S,6,3,1,2,,,,,,,4,16
NUTR    3 Total,,6,3,1,2,,,,,,,4,16
NUTR    4,MERCER J E,7,11,8,5,1,,,,,,9,41
"",NOVAK D S,4,10,11,2,,,,,,,10,37
NUTR    4 Total,,11,21,19,7,1,,,,,,19,78
NUTR    7,GONZALEZ C L,22,13,2,2,4,,,,2,,23,68
NUTR    7 Total,,22,13,2,2,4,,,,2,,23,68
NUTR    8,REID K L,8,5,,1,1,,,,,,1,16
NUTR    8 Total,,8,5,,1,1,,,,,,1,16
PHYS    3,BOBER M A,5,3,4,,1,,,,,,14,27
"",JOHNSON JA J,27,,,,1,,,,,,,28
"",PERKINS K K,17,9,2,1,1,,,,,,12,42
"",PRICE W M,8,1,3,,,,,,,,9,21
"",VON DER OHE C G,21,8,3,2,1,,,,,,13,48
"",WISSMANN P B,7,3,,2,1,,,,,,9,22
"",ZIV N B,1,11,3,,2,,,,,,8,25
PHYS    3 Total,,86,35,15,5,7,,,,,,65,213
"",PATEL A,11,11,3,,,,,,1,,3,29
"",WENGELER W R,9,1,6,1,1,,,,,,6,24
ZOOL    5 Total,,36,45,34,1,8,,1,,2,,17,144
"",,951,726,577,209,222,,10,5,24,,826,3550
MATH    1,LONDON J S,,,,,,,,10,9,,2,21
"",LUI-MARTINEZ KR D,,,,,,,2,10,10,,4,26
"",MUSSELMAN M J,,,,,,,,3,25,,2,30
"",QUEVEDO J M,,,,,,,,11,10,,6,27
MATH    1 Total,,,,,,,,2,34,54,,14,104
MATH    2,BENE A J,8,6,7,5,7,,,1,,,9,43
"",BOOSHERI S G,10,6,4,8,4,,,,,,9,41
"",CHAU E,7,6,3,2,5,,,,,,11,34
"",DAVID P A,12,5,6,,4,,,,,,8,35
"",EMERSON A J,7,9,7,3,10,,,,,,8,44
"",GHARAMANIANS J,5,4,5,4,7,,,,,,17,42
"",GROLLMUS D P,15,6,5,2,5,,,,1,,14,48
"",KAMIN G,8,3,,,1,,,,,,5,17
"",KARKAFI R H,4,3,1,,7,,1,,2,,19,37
"",MARDIROSIAN R,16,9,1,14,6,,,,,,6,52
"",MURRAY D B,3,3,4,7,5,,,,,,12,34
"",ORTEGA J A,5,2,4,2,5,,,,,,22,40
"",RAMSEY E D,8,7,3,2,6,,,2,1,,14,43
"",RODAS B G,5,3,3,,1,,,,,,10,22
"",SARKSSIAN H,12,8,5,8,5,,,,,,6,44
"",SMITH S P,17,8,6,5,10,,,,,,16,62
"",WANG J D,4,4,7,5,4,,,,,,10,34
MATH    2 Total,,146,92,71,67,92,,1,3,4,,196,672
MATH    3,RODAS B G,5,4,1,2,5,,,,,,14,31
MATH    3 Total,,5,4,1,2,5,,,,,,14,31
MATH    4,JIMENEZ B S,4,4,8,2,8,,,,1,,17,44
"",NGUYEN D T,4,2,6,2,13,,,,,,5,32
MATH    4 Total,,8,6,14,4,21,,,,1,,22,76
MATH    7,BASKAUSKAS V A,3,11,8,2,2,,,,,,20,46
"",DOKOS P,12,11,3,8,,,,,,,12,46
"",GROLLMUS D P,10,7,5,6,11,,,,,,3,42
"",HERICHI H,6,7,6,3,11,,,,,,12,45
"",KIM SU,5,12,6,4,1,,,,,,12,40
"",KONYA W,5,8,3,7,8,,,,,,33,64
"",MAN S,5,1,6,2,4,,,,,,5,23
"",MANOOKIAN N,8,9,7,7,4,,,,,,7,42
"",NESTLER A E,2,6,1,10,,,,,,,15,34
"",PACHAS-FLORES W,5,5,2,1,3,,,,,,25,41
"",RODAS B G,4,9,,1,,,,,,,9,23
"",ZAKERI G A,12,6,7,2,2,,,,,,13,42
MATH    7 Total,,85,102,57,56,56,,,,,,174,530
MATH    8,ASKARIAN S N,11,7,1,3,7,,,,,,16,45
"",EMERSON A J,4,10,4,5,4,,,,,,16,43
"",HERICHI H,9,12,5,,3,,,,,,16,45
"",JAHANGARD E,3,4,3,2,5,,,,,,15,32
"",KIM SU,7,7,10,5,3,,,,,,13,45
"",KONYA W,2,1,2,5,3,,,,,,15,28
"",PACHAS-FLORES W,2,1,5,3,9,,,,,,20,40
"",RODAS B G,8,7,5,1,4,,,,,,19,44
MATH    8 Total,,46,49,35,24,38,,,,,,130,322
MATH   10,EMERSON A J,9,5,7,2,5,,,,,,7,35
MATH   10 Total,,9,5,7,2,5,,,,,,7,35
MATH   11,EDINGER G C,8,13,4,7,5,,1,,,,8,46
"",HONG A M,1,3,1,3,5,,,,,,5,18
"",NESTLER A E,1,3,1,1,,,,,1,,13,20
"",SOLEYMANI S,12,7,6,12,,,,,,,10,47
MATH   11 Total,,22,26,12,23,10,,1,,1,,36,131
MATH   13,ASKARIAN S N,7,2,3,1,4,,1,,,,14,32
"",HERICHI H,8,12,1,5,3,,,,,,5,34
"",JAHANGARD E,1,2,4,4,5,,,,,,10,26
"",NESTLER A E,1,1,5,3,2,,,,,,6,18
"",OUELLETTE K R,12,11,1,4,2,,,,,,5,35
MATH   15,HERICHI H,12,9,7,1,7,,,,,,5,41
"",NESTLER A E,3,2,3,1,2,,,,,,7,18
"",ZAKERI G A,10,10,6,2,6,,,,,,8,42
MATH   15 Total,,25,21,16,4,15,,,,,,20,101
MATH   18,ESMAEILI F A,11,10,9,8,5,,,,,,4,47
"",FINE R F,4,8,15,,8,,,,1,,3,39
"",KARKAFI R H,3,4,9,,8,,,1,,,15,40
"",MAN S,1,2,4,5,4,,,,,,16,32
"",QUEVEDO J M,2,4,4,14,5,,,,,,12,41
"",ROSS K R,3,9,24,5,16,,,1,,,19,77
"",TSVIKYAN A,8,3,6,3,6,,,,2,,13,41
"",WARD J E,3,6,5,11,6,,,,,,11,42
MATH   18 Total,,35,46,76,46,58,,,2,3,,93,359
MATH   20,AKA D O,5,5,5,1,7,,,,,,23,46
"",ASADYAN A,9,12,10,3,3,,,,,,5,42
"",CHENG T T,6,6,2,5,6,,,1,,,7,33
"",CHITGAR M H,6,2,11,,6,,,,,,13,38
"",FOREMAN N J,6,8,3,1,8,,,,1,,8,35
"",FOSTER M,3,9,6,6,41,,,,,,22,87
"",GRAVES L P,4,4,11,6,6,,,,,,8,39
"",HARANDIAN R,5,13,7,4,8,,,,1,,6,44
"",HONG A M,2,5,7,11,14,,,,,,30,69
"",KAMIN G,5,6,5,2,8,,,,,,14,40
"",LAN H,3,3,7,7,8,,,,1,,17,46
"",LONDON J S,2,5,5,13,,,,,,,3,28
"",LUI-MARTINEZ KR D,1,4,7,4,6,,,,1,,4,27
"",MAKNOUNI M,7,5,10,9,4,,,,1,,7,43
"",MALDAGUE J,11,17,4,1,7,,,,,,8,48
"",MUSSELMAN M J,11,12,23,11,3,,3,,,,7,70
"",ODOM L H,9,17,14,7,16,,,2,,,29,94
"",QUEVEDO J M,6,2,12,13,6,,1,,,,16,56
"",RAHNAVARD M H,4,6,6,2,8,,,,,,15,41
"",ROQUE T,9,9,8,3,2,,,,,,9,40
"",TSVIKYAN A,9,8,8,6,6,,,,,,10,47
"",WANG E,3,5,6,5,11,,,1,1,,11,43
"",WANG J D,2,4,4,4,4,,,,,,11,29
MATH   20 Total,,132,169,190,127,204,,4,4,6,,293,1129
MATH   21,CHAN H J,2,11,8,3,5,,,,,,6,35
"",EMERSON A J,6,6,4,8,6,,,,,,11,41
"",FOREMAN N J,5,5,11,5,,,,,1,,4,31
"",HALAKA E F,31,9,1,,1,,,,,,4,46
"",HE F Y,9,1,3,,2,,,,,,3,18
"",KIM J J,14,12,5,2,,,,,,,2,35
"",MAKNOUNI M,6,5,9,1,10,,,,,,5,36
"",RAHMANI S,15,9,11,1,,,,,,,6,42
"",SOURY S,2,5,5,3,14,,,,,,14,43
MATH   21 Total,,90,63,57,23,38,,,,1,,55,327
MATH   26,CHAU E,3,6,5,2,9,,,,,,9,34
"",HARANDIAN R,6,4,8,3,7,,,,,,8,36
"",LAN H,2,6,7,6,10,,,,,,15,46
"",PHUA N,2,6,8,3,12,,,,,,10,41
"",SASO M,3,5,7,1,4,,,,,,14,34
"",SIMHAN S V,1,11,9,4,6,,,,,,5,36
MATH   26 Total,,17,38,44,19,48,,,,,,61,227
MATH   28,HANCOCK M D,11,11,11,2,1,,,,,,6,42
"",KAVIANI K,5,6,3,,4,,,,,,14,32
"",MALDAGUE J,22,13,4,1,2,,,,,,3,45
"",MAZOROW M M,3,1,1,,2,,,,,,11,18
MATH   28 Total,,41,31,19,3,9,,,,,,34,137
MATH   31,BELLIN E H,8,15,13,3,2,,,,,,4,45
"",BRONIE B L,3,4,3,14,9,,,,,,12,45
"",CHO M,1,5,5,3,8,,,,,,20,42
"",EMERSON A J,6,7,6,8,11,,,,,,4,42
"",ENGLAND A M,4,2,6,5,39,,,,,,28,84
"",ESMAEILI F A,4,8,6,12,5,,1,,,,12,48
"",EVINYAN Z,3,5,3,4,5,,,,,,14,34
"",HALAKA E F,11,8,12,3,,,,,,,6,40
"",HARJUNO T,,2,2,1,16,,,,,,16,37
"",HECHT S E,4,5,6,2,17,,,,,,10,44
"",HUANG C Y,7,7,2,1,15,,,,1,,9,42
"",JIANG J,5,9,15,2,8,,,,,,4,43
"",KIM J J,3,8,4,4,4,,,,,,12,35
"",LEE K H,5,10,11,7,,,1,,,,8,42
"",LEE P H,3,2,12,,43,,,,,,17,77
"",LIAO G,10,10,2,1,7,,,,,,7,37
"",MIANO I A,1,4,10,5,14,,,,1,,8,43
"",MUSSELMAN M J,6,5,9,4,7,,,,,,12,43
"",OWAKA E A,,15,5,2,12,,,,,,5,39
"",PHUNG Q T,3,5,10,7,31,,,,,,27,83
"",TU W,1,2,2,6,10,,,,,,19,40
"",WARD J E,1,3,3,13,8,,,,,,18,46
"",WONG B L,1,3,4,9,10,,,,,,15,42
MATH   31 Total,,95,147,160,119,288,,2,,2,,305,1118
MATH   32,ANTONIOUS M M,9,6,5,1,2,,,,,,13,36
"",ASADYAN A,11,7,12,2,5,,,,1,,11,49
"",GROGAN J,9,18,12,10,25,,,,2,,15,91
"",HECHT S E,12,17,8,4,3,,,1,1,,4,50
"",HOWE J E,8,19,6,3,1,,,,,,2,39
"",HUANG C Y,13,7,3,,6,,,,2,,14,45
"",MIANO I A,7,16,12,12,15,,,,1,,10,73
"",OUELLETTE K R,3,5,2,,7,,,1,,,15,33
"",SIMHAN S V,6,13,18,3,20,,,1,,,23,84
"",TU W,2,6,3,6,3,,,1,,,17,38
MATH   32 Total,,80,114,81,41,87,,,4,7,,124,538
MATH   41,PEREZ-FERNANDEZ L,7,9,2,,1,,,,,,9,28
MATH   41 Total,,7,9,2,,1,,,,,,9,28
MATH   50,BENE A J,6,9,4,4,8,,,,,,5,36
"",BOOSHERI S G,1,2,4,3,6,,,,,,8,24
"",DABAGH SA M,6,10,7,9,2,,1,,,,3,38
"",EDINGER G C,5,8,8,1,1,,,,,,7,30
"",HANCOCK M D,10,6,6,3,4,,,,,,5,34
"",LAI I,3,6,10,3,7,,,,,,6,35
"",LONDON J S,1,,8,13,,,,1,,,7,30
"",LUI-MARTINEZ KR D,1,5,10,8,6,,1,,,,7,38
"",MCGRAW C K,9,7,6,2,6,,,,,,5,35
"",MENDEZ GO,9,12,6,5,1,,,,,,4,37
"",NGUYEN D T,1,7,4,1,15,,,,,,8,36
"",OUELLETTE K R,5,6,2,1,14,,,,1,,6,35
"",RAHMANI S,7,9,4,4,6,,,,,,6,36
"",SIMO A L,5,5,11,,5,,,,,,4,30
"",SOLEYMANI S,1,8,10,4,2,,,,,,10,35
"",WANG J D,4,1,6,2,19,,,,1,,5,38
"",XU M N,2,8,7,2,2,,,,,,7,28
MATH   50 Total,,92,127,123,69,111,,2,1,4,,113,642
MATH   54,ANTONIOUS M M,10,7,10,,4,,,,,,14,45
"",BASKAUSKAS V A,5,14,22,2,3,,,,,,4,50
"",BAYSSA B T,11,11,22,6,15,,,,,,23,88
"",CARTY B,5,5,11,5,7,,,,,,11,44
"",DABAGH SA M,3,5,9,8,7,,,,,,5,37
"",EDINGER G C,5,7,11,4,6,,,,,,14,47
"",FOSTER M,4,10,13,3,27,,1,,,,33,91
"",GHARAMANIANS J,4,9,4,5,6,,,,,,22,50
"",GRAVES L P,1,2,8,7,3,,,,,,17,38
"",HANCOCK M D,18,14,14,4,9,,,,,,18,77
"",JAHANGARD E,3,5,6,1,7,,,,,,33,55
"",LAI I,11,4,7,5,4,,,,,,16,47
"",LOPEZ J E,15,18,19,6,8,,,,,,13,79
"",MARDIROSIAN R,14,15,5,3,2,,,,1,,9,49
"",MARTINEZ M G,28,11,1,,2,,,,,,18,60
"",MCGRAW C K,4,10,3,1,6,,,,,,5,29
"",NGUYEN D T,3,5,4,1,16,,,,,,15,44
"",ORTEGA J A,4,3,8,3,6,,,,,,16,40
"",PEREZ R E,50,16,9,2,1,,,,,,10,88
"",PETIKYAN G,10,6,12,1,2,,,,,,10,41
"",PHUA N,8,1,3,1,11,,,,,,16,40
"",SASO M,8,5,6,4,2,,1,,,,8,34
"",SIMO A L,5,10,9,,9,,,,,,9,42
"",SOLEYMANI S,15,9,12,14,2,,,,,,21,73
"",VENDLINSKI T P,5,16,9,9,,,2,,,,3,44
"",XIE M C,12,5,1,4,5,,,,,,16,43
"",YANKEY K A,11,24,23,6,6,,6,,,,25,101
"",YEE D K,15,3,11,5,18,,,1,,,33,86
MATH   54 Total,,297,262,288,114,199,,10,1,1,,477,1649
MATH   81,BRONIE B L,2,4,4,9,2,,,,,,9,30
"",CHENG T T,3,,1,4,5,,,,,,14,27
"",CHITGAR M H,2,8,6,,,,,,,,6,22
"",PHUNG Q T,5,2,5,7,30,,,,,,20,69
MATH   81 Total,,12,14,16,20,37,,,,,,49,148
MATH   84,AKA D O,2,3,8,,15,,,,,,13,41
"",CHO M,2,1,2,2,17,,,,,,8,32
"",EVINYAN Z,4,5,9,4,5,,,,,,7,34
"",GIZAW A,5,9,4,5,6,,,,1,,11,41
"",JIANG J,3,8,10,,11,,,,,,3,35
"",MENDEZ GO,7,11,9,,4,,,,,,1,32
"",OWAKA E A,4,7,8,1,12,,,,,,8,40
"",RAHNAVARD M H,1,4,7,3,14,,,,,,8,37
MATH   84 Total,,28,48,57,15,84,,,,1,,59,292
MATH   85,BENE A J,4,6,16,8,7,,,,,,6,47
"",CHAN H J,3,3,6,6,10,,,,,,13,41
"",DOKOS P,8,7,2,8,,,,,,,9,34
"",HE F Y,4,6,5,5,7,,,,,,17,44
"",LEE P H,1,1,1,,18,,,,,,14,35
"",MIANO I A,,4,11,8,9,,,,,,3,35
"",ROSS K R,3,7,19,9,19,,,,,,18,75
"",TRAN C D,3,7,11,7,11,,,,,,2,41
"",,1327,1442,1411,846,1503,,23,49,85,,2407,9093
ARABIC  1,BEZRATI S,22,2,1,,4,,,,,,2,31
ARABIC  1 Total,,22,2,1,,4,,,,,,2,31
ASL      1,COLE B M,10,4,4,3,2,,,,,,3,26
"",LEWIS B J,13,3,4,1,2,,,,,,5,28
ASL      1 Total,,23,7,8,4,4,,,,,,8,54
ASL      2,DANA M,10,10,3,,2,,,,,,6,31
ASL      2 Total,,10,10,3,,2,,,,,,6,31
CHNESE  1,WU D,15,5,,,,,,1,,,5,26
"",WU X,18,12,9,1,6,,,1,,,22,69
CHNESE  1 Total,,33,17,9,1,6,,,2,,,27,95
CHNESE  2,WU X,11,3,,2,,,,,,,1,17
CHNESE  2 Total,,11,3,,2,,,,,,,1,17
FRENCH  1,CHEVANT-AKSOY A,28,17,4,2,10,,,,,,17,78
"",ISNER-BALL D R,11,8,3,,,,,1,1,,7,31
